K,ColorID,Red,Green,Blue,Color,DMC,Floss Name,Hex Code,Red,Green,Blue,Distance
20,0,67,61,57,,3799,Pewter Gray Very Dark,#424242,66,66,66,10.344080432788601
20,1,199,162,98,,833,Golden Olive Light,#C8AB6C,200,171,108,13.490737563232042
20,2,6,11,19,,310,Black,#000000,0,0,0,22.759613353482084
20,3,189,186,186,,03,Tin Medium,#B8B8BB,184,184,187,5.477225575051661
20,4,121,101,79,,610,Drab Brown Dark,#796047,121,96,71,9.433981132056603
20,5,69,105,112,,930,Antique Blue Dark,#455C71,69,92,113,13.038404810405298
20,6,194,121,60,,976,Golden Brown Medium,#C28142,194,129,66,10.0
20,7,33,78,101,,311,Wedgewood Ultra Very Dark,#1C5066,28,80,102,5.477225575051661
20,8,245,227,184,,945,Tawny,#FBD5BB,251,213,187,15.524174696260024
20,9,18,46,68,,939,Navy Blue Very Dark,#1B2853,27,40,83,18.49324200890693
20,10,233,139,55,,3853,Autumn Gold Dark,#F29746,242,151,70,21.213203435596427
20,11,109,133,126,,3768,Gray Green Dark,#657F7F,101,127,127,10.04987562112089
20,12,159,87,42,,434,Brown Light,#985E33,152,94,51,13.379088160259652
20,13,158,139,99,,3863,Mocha Beige Medium,#A4835C,164,131,92,12.206555615733702
20,14,245,199,101,,19,Autumn Gold medium Light,#F7C95F,247,201,95,6.6332495807108
20,15,220,99,23,,720,Orange Spice Dark,#E55C1F,229,92,31,13.92838827718412
20,16,244,170,71,,3853,Autumn Gold Dark,#F29746,242,151,70,19.131126469708992
20,17,124,74,44,,433,Brown Medium,#7A451F,122,69,31,14.071247279470288
20,18,216,216,213,,02,Tin,#D7D7D8,215,215,216,3.3166247903554
20,19,30,34,39,,934,Avocado Grn Black,#313919,49,57,25,32.95451410656816
