K,ColorID,Red,Green,Blue
75,0,56,60,64
75,1,230,166,81
75,2,8,17,30
75,3,156,174,183
75,4,126,96,74
75,5,104,133,147
75,6,144,89,54
75,7,25,70,98
75,8,227,215,205
75,9,187,121,63
75,10,166,151,107
75,11,229,114,34
75,12,20,36,50
75,13,54,83,94
75,14,252,181,66
75,15,7,9,12
75,16,94,89,81
75,17,78,116,120
75,18,246,138,46
75,19,240,217,142
75,20,44,47,51
75,21,173,74,20
75,22,189,167,100
75,23,96,130,122
75,24,61,105,117
75,25,93,72,54
75,26,12,43,67
75,27,233,205,181
75,28,131,151,161
75,29,229,140,60
75,30,166,105,59
75,31,25,27,33
75,32,74,60,50
75,33,101,110,102
75,34,185,186,187
75,35,206,214,216
75,36,62,48,39
75,37,203,114,48
75,38,227,179,113
75,39,251,240,193
75,40,23,55,77
75,41,116,138,119
75,42,143,109,72
75,43,248,206,102
75,44,191,196,201
75,45,155,83,39
75,46,20,20,21
75,47,4,11,23
75,48,35,81,105
75,49,212,190,177
75,50,45,92,111
75,51,180,176,175
75,52,128,119,96
75,53,135,75,41
75,54,212,132,61
75,55,193,136,75
75,56,231,234,234
75,57,238,94,9
75,58,176,140,89
75,59,44,36,31
75,60,192,165,133
75,61,117,85,58
75,62,112,64,36
75,63,34,37,42
75,64,73,72,70
75,65,72,98,103
75,66,156,126,87
75,67,248,159,61
75,68,145,150,115
75,69,211,152,80
75,70,207,89,19
75,71,248,189,85
75,72,182,97,40
75,73,2,2,3
75,74,13,26,41
