K,ColorID,Red,Green,Blue,Unmapped,Color,DMC,Floss Name,Hex Code,Red,Green,Blue,Distance
100,0,167,99,51,False,,301,Mahogany Medium,#B35F2B,179,95,43,14.966629547095765
100,1,24,37,49,True,,939,Navy Blue Very Dark,#1B2853,27,40,83,34.26368339802363
100,2,238,197,129,False,,3821,Straw,#F3CE75,243,206,117,15.811388300841896
100,3,58,104,117,False,,3808,Turquoise Ultra Very Dark,#366970,54,105,112,6.48074069840786
100,4,166,163,163,False,,318,Steel Gray Light,#ABABAB,171,171,171,12.36931687685298
100,5,5,7,10,False,,310,Black,#000000,0,0,0,13.19090595827292
100,6,105,72,47,False,,838,Beige Brown Very Dark,#594937,89,73,55,17.916472867168917
100,7,235,153,64,False,,3853,Autumn Gold Dark,#F29746,242,151,70,9.433981132056603
100,8,107,101,88,False,,645,Beaver Gray Very Dark,#6E655C,110,101,92,5.0
100,9,37,68,86,True,,311,Wedgewood Ultra Very Dark,#1C5066,28,80,102,21.93171219946131
100,10,165,127,84,False,,3863,Mocha Beige Medium,#A4835C,164,131,92,9.0
100,11,238,95,9,False,,946,Burnt Orange Medium,#EB6307,235,99,7,5.385164807134504
100,12,214,198,188,False,,06,Driftwood Medium Light,#DCC6B8,220,198,184,7.211102550927978
100,13,64,47,37,False,,3031,Mocha Brown Very Dark,#4B3C2A,75,60,42,17.74823934929885
100,14,105,135,123,False,,3768,Gray Green Dark,#657F7F,101,127,127,9.797958971132712
100,15,152,81,39,False,,434,Brown Light,#985E33,152,94,51,17.69180601295413
100,16,16,19,27,True,,3371,Black Brown,#1E1108,30,17,8,23.68543856465402
100,17,192,167,99,False,,833,Golden Olive Light,#C8AB6C,200,171,108,12.68857754044952
100,18,251,198,87,False,,742,Tangerine Light,#FFBF57,255,191,87,8.06225774829855
100,19,68,65,63,False,,3799,Pewter Gray Very Dark,#424242,66,66,66,3.7416573867739413
100,20,209,136,66,False,,976,Golden Brown Medium,#C28142,194,129,66,16.55294535724685
100,21,231,223,213,False,,822,Beige Gray Light,#E7E2D3,231,226,211,3.605551275463989
100,22,32,32,35,True,,938,Coffee Brown Ultra Dark,#361F0E,54,31,14,30.430248109405877
100,23,78,77,74,False,,844,Beaver Gray Ultra Dark,#484848,72,72,72,8.06225774829855
100,24,11,43,67,True,,939,Navy Blue Very Dark,#1B2853,27,40,83,22.825424421026653
100,25,215,120,47,False,,3776,Mahogany Light,#CF7939,207,121,57,12.84523257866513
100,26,169,177,186,False,,04,Tin Dark,#AEAEB1,174,174,177,10.723805294763608
100,27,38,41,45,True,,934,Avocado Grn Black,#313919,49,57,25,27.874719729532707
100,28,230,168,82,False,,977,Golden Brown Light,#DC9C56,220,156,86,16.1245154965971
100,29,140,103,71,False,,3862,Mocha Beige Dark,#8A6E4E,138,110,78,10.099504938362077
100,30,72,112,121,False,,991,Aquamarine Dark,#477B6E,71,123,110,15.588457268119896
100,31,252,182,67,False,,725,Topaz Medium Light,#FFC840,255,200,64,18.49324200890693
100,32,44,92,111,False,,803,Baby Blue Ultra Very Dark,#2C597C,44,89,124,13.341664064126334
100,33,145,153,118,False,,3022,Brown Gray Medium,#8E9078,142,144,120,9.695359714832659
100,34,252,245,189,False,,727,Topaz Very Light,#FFF1AF,255,241,175,14.866068747318506
100,35,182,195,200,False,,927,Gray Green Light,#BDCBCB,189,203,203,11.045361017187261
100,36,193,87,24,False,,921,Copper,#C66218,198,98,24,12.083045973594572
100,37,91,91,85,False,,413,Pewter Gray Dark,#565656,86,86,86,7.14142842854285
100,38,138,83,49,False,,632,Desert Sand Ultra Very Dark,#875539,135,85,57,8.774964387392123
100,39,3,10,22,True,,310,Black,#000000,0,0,0,24.351591323771842
100,40,127,150,163,False,,3839,Lavender Blue Medium,#7B8EAB,123,142,171,12.0
100,41,19,54,77,False,,820,Royal Blue Very Dark,#0E365C,14,54,92,15.811388300841896
100,42,13,31,48,True,,939,Navy Blue Very Dark,#1B2853,27,40,83,38.7556447501522
100,43,247,141,48,True,,741,Tangerine Medium,#FFA32B,255,163,43,23.93741840717165
100,44,106,118,107,False,,317,Pewter Gray,#6C6C6C,108,108,108,10.246950765959598
100,45,107,83,61,False,,839,Beige Brown Dark,#675541,103,85,65,6.0
100,46,178,144,90,False,,831,Golden Olive Medium,#AA8F56,170,143,86,9.0
100,47,239,209,157,False,,738,Tan Very Light,#ECCC9E,236,204,158,5.916079783099616
100,48,24,70,98,False,,311,Wedgewood Ultra Very Dark,#1C5066,28,80,102,11.489125293076057
100,49,51,59,65,False,,3799,Pewter Gray Very Dark,#424242,66,66,66,16.583123951777
100,50,192,165,139,False,,3032,Mocha Brown Medium,#B39F8B,179,159,139,14.317821063276353
100,51,87,69,57,False,,838,Beige Brown Very Dark,#594937,89,73,55,4.898979485566356
100,52,134,74,40,False,,433,Brown Medium,#7A451F,122,69,31,15.811388300841896
100,53,224,184,108,False,,728,Topaz,#E4B468,228,180,104,6.928203230275509
100,54,169,72,20,False,,919,Red Copper,#A64510,166,69,16,5.830951894845301
100,55,123,139,116,False,,646,Beaver Gray Dark,#877D73,135,125,115,18.466185312619388
100,56,71,98,103,False,,930,Antique Blue Dark,#455C71,69,92,113,11.832159566199232
100,57,148,120,82,False,,611,Drab Brown,#967656,150,118,86,4.898979485566356
100,58,208,181,165,False,,842,Beige Brown Very Light,#D1BAA1,209,186,161,6.48074069840786
100,59,234,116,33,False,,922,Copper Light,#E27323,226,115,35,8.306623862918075
100,60,2,2,2,False,,310,Black,#000000,0,0,0,3.4641016151377544
100,61,196,119,56,False,,3776,Mahogany Light,#CF7939,207,121,57,11.224972160321824
100,62,242,216,188,False,,945,Tawny,#FBD5BB,251,213,187,9.539392014169456
100,63,112,62,34,False,,433,Brown Medium,#7A451F,122,69,31,12.569805089976535
100,64,9,21,35,True,,3371,Black Brown,#1E1108,30,17,8,34.438350715445125
100,65,182,145,120,False,,3859,Rosewood Light,#BA8B7C,186,139,124,8.246211251235321
100,66,128,93,66,False,,610,Drab Brown Dark,#796047,121,96,71,9.1104335791443
100,67,34,80,105,False,,311,Wedgewood Ultra Very Dark,#1C5066,28,80,102,6.708203932499369
100,68,250,160,62,False,,3853,Autumn Gold Dark,#F29746,242,151,70,14.45683229480096
100,69,48,48,50,True,,934,Avocado Grn Black,#313919,49,57,25,26.589471600616662
100,70,197,147,81,False,,436,Tan,#CB9051,203,144,81,6.708203932499369
100,71,219,154,79,False,,977,Golden Brown Light,#DC9C56,220,156,86,7.3484692283495345
100,72,202,210,213,False,,3752,Antique Blue Very Light,#C7D1DB,199,209,219,6.782329983125268
