K,ColorID,Red,Green,Blue,Color,DMC,Floss Name,Hex Code,Red,Green,Blue,Distance
300,0,166,101,54,,3826,Golden Brown,#AD7239,173,114,57,15.066519173319364
300,1,20,40,57,,939,Navy Blue Very Dark,#1B2853,27,40,83,26.92582403567252
300,2,237,209,129,,3821,Straw,#F3CE75,243,206,117,13.74772708486752
300,3,72,91,93,,413,Pewter Gray Dark,#565656,86,86,86,16.431676725154983
300,4,9,13,20,,3371,Black Brown,#1E1108,30,17,8,24.515301344262525
300,5,168,176,185,,04,Tin Dark,#AEAEB1,174,174,177,10.198039027185569
300,6,215,119,47,,3776,Mahogany Light,#CF7939,207,121,57,12.96148139681572
300,7,160,143,99,,3863,Mocha Beige Medium,#A4835C,164,131,92,14.45683229480096
300,8,100,73,49,,838,Beige Brown Very Dark,#594937,89,73,55,12.529964086141668
300,9,23,68,97,,796,Royal Blue Dark,#11416D,17,65,109,13.74772708486752
300,10,254,186,66,,725,Topaz Medium Light,#FFC840,255,200,64,14.177446878757825
300,11,123,115,98,,640,Beige Gray Very Dark,#857B61,133,123,97,12.84523257866513
300,12,233,206,182,,05,Driftwood Light,#E3CCBE,227,204,190,10.198039027185569
300,13,61,61,62,,3799,Pewter Gray Very Dark,#424242,66,66,66,8.12403840463596
300,14,212,158,80,,977,Golden Brown Light,#DC9C56,220,156,86,10.198039027185569
300,15,85,118,138,,3838,Lavender Blue Dark,#5C7294,92,114,148,12.84523257866513
300,16,140,69,29,,400,Mahogany Dark,#8F430F,143,67,15,14.45683229480096
300,17,45,93,112,,803,Baby Blue Ultra Very Dark,#2C597C,44,89,124,12.68857754044952
300,18,226,89,10,,946,Burnt Orange Medium,#EB6307,235,99,7,13.784048752090222
300,19,27,31,39,,3371,Black Brown,#1E1108,30,17,8,34.14674215792775
300,20,113,95,75,,610,Drab Brown Dark,#796047,121,96,71,9.0
300,21,238,139,54,,3853,Autumn Gold Dark,#F29746,242,151,70,20.396078054371138
300,22,46,49,53,,934,Avocado Grn Black,#313919,49,57,25,29.274562336608895
300,23,1,1,2,,310,Black,#000000,0,0,0,2.449489742783178
300,24,200,181,172,,452,Shell Gray Medium,#C0B3AE,192,179,174,8.48528137423857
300,25,183,195,200,,927,Gray Green Light,#BDCBCB,189,203,203,10.44030650891055
300,26,113,139,154,,931,Antique Blue Medium,#6A859E,106,133,158,10.04987562112089
300,27,71,113,119,,991,Aquamarine Dark,#477B6E,71,123,110,13.45362404707371
300,28,111,139,122,,3768,Gray Green Dark,#657F7F,101,127,127,16.401219466856727
300,29,182,76,18,,920,Copper Medium,#AC5414,172,84,20,12.96148139681572
300,30,185,131,78,,435,Brown Very Light,#B87748,184,119,72,13.45362404707371
300,31,18,23,32,,3371,Black Brown,#1E1108,30,17,8,27.49545416973504
300,32,134,104,57,,869,Hazelnut Brown Very Dark,#835E39,131,94,57,10.44030650891055
300,33,10,43,67,,939,Navy Blue Very Dark,#1B2853,27,40,83,23.53720459187964
300,34,238,162,74,,3853,Autumn Gold Dark,#F29746,242,151,70,12.36931687685298
300,35,76,59,44,,3031,Mocha Brown Very Dark,#4B3C2A,75,60,42,2.449489742783178
300,36,25,55,75,,939,Navy Blue Very Dark,#1B2853,27,40,83,17.11724276862369
300,37,166,163,163,,318,Steel Gray Light,#ABABAB,171,171,171,12.36931687685298
300,38,247,191,84,,742,Tangerine Light,#FFBF57,255,191,87,8.54400374531753
300,39,92,110,104,,924,Gray Green Vy Dark,#566A6A,86,106,106,7.483314773547883
300,40,185,170,103,,371,Mustard,#BFA671,191,166,113,12.328828005937952
300,41,158,87,42,,434,Brown Light,#985E33,152,94,51,12.884098726725126
300,42,112,62,34,,433,Brown Medium,#7A451F,122,69,31,12.569805089976535
300,43,253,249,203,,3078,Golden Yellow Very Light,#FDF9CD,253,249,205,2.0
300,44,146,117,86,,611,Drab Brown,#967656,150,118,86,4.123105625617661
300,45,193,101,39,,301,Mahogany Medium,#B35F2B,179,95,43,15.748015748023622
300,46,8,7,8,,310,Black,#000000,0,0,0,13.30413469565007
300,47,233,110,29,,922,Copper Light,#E27323,226,115,35,10.488088481701515
300,48,186,151,126,,841,Beige Brown Light,#B69B7E,182,155,126,5.656854249492381
300,49,152,158,114,,522,Fern Green,#969E7E,150,158,126,12.165525060596439
300,50,49,40,37,,934,Avocado Grn Black,#313919,49,57,25,20.808652046684813
300,51,79,76,70,,3021,Brown Gray Very Dark,#4F4B41,79,75,65,5.0990195135927845
300,52,213,136,63,,3776,Mahogany Light,#CF7939,207,121,57,17.233687939614086
300,53,144,87,51,,434,Brown Light,#985E33,152,94,51,10.63014581273465
300,54,251,163,61,,3853,Autumn Gold Dark,#F29746,242,151,70,17.4928556845359
300,55,58,104,117,,3808,Turquoise Ultra Very Dark,#366970,54,105,112,6.48074069840786
300,56,149,105,67,,420,Hazelnut Brown Dark,#A07042,160,112,66,13.076696830622021
300,57,42,64,77,,3750,Antique Blue Very Dark,#384C5E,56,76,94,25.079872407968907
300,58,202,212,217,,3752,Antique Blue Very Light,#C7D1DB,199,209,219,4.69041575982343
300,59,213,199,191,,06,Driftwood Medium Light,#DCC6B8,220,198,184,9.9498743710662
300,60,231,187,115,,728,Topaz,#E4B468,228,180,104,13.379088160259652
300,61,192,118,63,,976,Golden Brown Medium,#C28142,194,129,66,11.575836902790225
300,62,132,95,73,,610,Drab Brown Dark,#796047,121,96,71,11.224972160321824
300,63,31,77,103,,311,Wedgewood Ultra Very Dark,#1C5066,28,80,102,4.358898943540674
300,64,11,19,31,,3371,Black Brown,#1E1108,30,17,8,29.899832775452108
300,65,247,232,165,,745,Yellow Pale Light,#FFE9AD,255,233,173,11.357816691600547
300,66,111,106,93,,645,Beaver Gray Very Dark,#6E655C,110,101,92,5.196152422706632
300,67,131,71,39,,433,Brown Medium,#7A451F,122,69,31,12.206555615733702
300,68,102,92,79,,3787,Brown Gray Dark,#625D50,98,93,80,4.242640687119285
300,69,56,47,42,,934,Avocado Grn Black,#313919,49,57,25,20.92844953645635
300,70,221,175,96,,3820,Straw Dark,#DFB65F,223,182,95,7.3484692283495345
300,71,182,145,95,,3828,Hazelnut Brown,#B78B61,183,139,97,6.4031242374328485
300,72,88,126,122,,3768,Gray Green Dark,#657F7F,101,127,127,13.96424004376894
300,73,40,40,42,,934,Avocado Grn Black,#313919,49,57,25,25.67099530598687
300,74,200,165,94,,833,Golden Olive Light,#C8AB6C,200,171,108,15.231546211727817
300,75,170,170,172,,318,Steel Gray Light,#ABABAB,171,171,171,1.7320508075688772
300,76,214,87,13,,900,Burnt Orange Dark,#D15807,209,88,7,7.874007874011811
300,77,123,92,65,,610,Drab Brown Dark,#796047,121,96,71,7.483314773547883
300,78,122,147,161,,3839,Lavender Blue Medium,#7B8EAB,123,142,171,11.224972160321824
300,79,35,28,23,,3371,Black Brown,#1E1108,30,17,8,19.261360284258224
300,80,231,216,152,,676,Old Gold Light,#E5CE97,229,206,151,10.246950765959598
300,81,68,100,106,,930,Antique Blue Dark,#455C71,69,92,113,10.677078252031311
300,82,252,202,86,,19,Autumn Gold medium Light,#F7C95F,247,201,95,10.344080432788601
300,83,11,33,53,,939,Navy Blue Very Dark,#1B2853,27,40,83,34.713109915419565
300,84,18,20,24,,3371,Black Brown,#1E1108,30,17,8,20.223748416156685
300,85,171,125,84,,167,Yellow Beige Very Dark,#A77C49,167,124,73,11.74734012447073
300,86,168,74,25,,919,Red Copper,#A64510,166,69,16,10.488088481701515
300,87,240,223,205,,543,Beige Brown Ultra Very Light,#F2E3CE,242,227,206,4.58257569495584
300,88,48,85,99,,3750,Antique Blue Very Dark,#384C5E,56,76,94,13.038404810405298
300,89,123,131,112,,646,Beaver Gray Dark,#877D73,135,125,115,13.74772708486752
300,90,38,43,49,,934,Avocado Grn Black,#313919,49,57,25,29.88310559496787
300,91,49,60,67,,3799,Pewter Gray Very Dark,#424242,66,66,66,18.05547008526779
300,92,242,183,137,,20,Shrimp,#F7AF93,247,175,147,13.74772708486752
300,93,251,146,44,,741,Tangerine Medium,#FFA32B,255,163,43,17.4928556845359
300,94,249,207,104,,19,Autumn Gold medium Light,#F7C95F,247,201,95,11.0
300,95,210,106,36,,922,Copper Light,#E27323,226,115,35,18.384776310850235
300,96,59,53,49,,3031,Mocha Brown Very Dark,#4B3C2A,75,60,42,18.81488772222678
300,97,252,169,93,,3854,Autumn Gold Medium,#F2AF68,242,175,104,16.0312195418814
300,98,2,9,23,,310,Black,#000000,0,0,0,24.779023386727733
300,99,153,78,33,,975,Golden Brown Dark,#914F12,145,79,18,17.029386365926403
300,100,55,77,86,,3750,Antique Blue Very Dark,#384C5E,56,76,94,8.12403840463596
300,101,236,177,85,,3820,Straw Dark,#DFB65F,223,182,95,17.146428199482248
300,102,216,141,86,,436,Tan,#CB9051,203,144,81,14.247806848775006
300,103,179,117,70,,435,Brown Very Light,#B87748,184,119,72,5.744562646538029
300,104,197,174,142,,372,Mustard Light,#CCB784,204,183,132,15.165750888103101
300,105,120,84,62,,3781,Mocha Brown Dark,#6B5743,107,87,67,14.247806848775006
300,106,19,31,44,,3371,Black Brown,#1E1108,30,17,8,40.162171256046406
300,107,82,65,52,,838,Beige Brown Very Dark,#594937,89,73,55,11.045361017187261
300,108,137,161,171,,926,Gray Green Medium,#98AEAE,152,174,174,20.074859899884732
300,109,186,110,49,,3826,Golden Brown,#AD7239,173,114,57,15.7797338380595
300,110,138,103,77,,3862,Mocha Beige Dark,#8A6E4E,138,110,78,7.0710678118654755
300,111,207,181,163,,842,Beige Brown Very Light,#D1BAA1,209,186,161,5.744562646538029
300,112,3,6,14,,310,Black,#000000,0,0,0,15.524174696260024
300,113,230,136,56,,721,Orange Spice Medium,#F27842,242,120,66,22.360679774997898
300,114,14,15,16,,3371,Black Brown,#1E1108,30,17,8,18.0
300,115,225,163,76,,977,Golden Brown Light,#DC9C56,220,156,86,13.19090595827292
300,116,86,59,38,,3031,Mocha Brown Very Dark,#4B3C2A,75,60,42,11.74734012447073
300,117,10,16,27,,3371,Black Brown,#1E1108,30,17,8,27.60434748368452
300,118,207,191,181,,06,Driftwood Medium Light,#DCC6B8,220,198,184,15.066519173319364
300,119,177,159,99,,370,Mustard Medium,#B89D64,184,157,100,7.3484692283495345
300,120,88,90,88,,413,Pewter Gray Dark,#565656,86,86,86,4.898979485566356
300,121,54,38,29,,938,Coffee Brown Ultra Dark,#361F0E,54,31,14,16.55294535724685
300,122,110,75,51,,839,Beige Brown Dark,#675541,103,85,65,18.57417562100671
