K,ColorID,Red,Green,Blue
200,0,169,100,51
200,1,24,42,58
200,2,233,206,122
200,3,74,88,89
200,4,7,13,23
200,5,169,175,184
200,6,219,118,43
200,7,160,142,99
200,8,97,74,59
200,9,24,70,97
200,10,253,186,66
200,11,128,118,96
200,12,233,206,182
200,13,60,60,61
200,14,215,163,82
200,15,80,114,134
200,16,139,69,30
200,17,43,92,111
200,18,235,93,10
200,19,27,30,37
200,20,112,98,80
200,21,237,138,54
200,22,46,49,53
200,23,2,2,2
200,24,202,180,170
200,25,183,195,200
200,26,113,139,154
200,27,69,112,119
200,28,109,137,123
200,29,184,77,18
200,30,185,132,78
200,31,19,25,34
200,32,134,104,61
200,33,12,45,69
200,34,239,162,79
200,35,76,58,44
200,36,23,57,80
200,37,166,163,163
200,38,247,187,82
200,39,86,110,108
200,40,189,172,105
200,41,163,86,39
200,42,112,62,34
200,43,254,249,202
200,44,147,120,89
200,45,198,103,39
200,46,9,8,9
200,47,231,111,31
200,48,191,149,122
200,49,146,152,116
200,50,50,39,34
200,51,88,83,74
200,52,212,135,63
200,53,145,86,50
200,54,251,163,62
200,55,59,105,117
200,56,148,105,67
200,57,39,72,89
200,58,207,213,215
200,59,217,203,193
200,60,231,187,115
200,61,191,118,59
200,62,129,93,70
200,63,31,78,103
200,64,9,20,35
200,65,247,231,168
200,66,115,107,90
200,67,129,72,40
200,68,101,92,79
200,69,57,48,42
200,70,221,175,95
200,71,180,145,91
200,72,88,126,122
200,73,39,40,42
200,74,198,165,94
200,75,170,171,172
200,76,209,85,15
200,77,119,89,60
200,78,122,147,161
200,79,37,30,26
200,80,231,216,152
200,81,72,101,107
200,82,252,201,86
200,83,11,33,52
200,84,19,20,24
200,85,166,128,86
200,86,169,74,25
200,87,236,221,206
200,88,48,84,99
200,89,131,131,111
200,90,38,44,51
200,91,44,62,72
200,92,242,183,137
200,93,250,141,46
200,94,249,205,104
200,95,212,103,31
200,96,61,55,51
200,97,252,169,93
200,98,2,9,23
200,99,154,79,34
200,100,60,79,86
200,101,235,176,82
200,102,207,142,86
200,103,181,121,67
200,104,194,165,141
200,105,131,85,54
200,106,20,30,43
200,107,86,66,51
200,108,138,160,169
200,109,183,105,48
200,110,138,102,76
200,111,207,193,145
200,112,4,8,15
200,113,226,134,56
200,114,15,14,14
200,115,225,164,75
200,116,87,55,35
200,117,10,17,28
200,118,207,192,182
200,119,183,160,97
200,120,89,90,88
200,121,67,47,33
200,122,112,77,50
200,123,140,76,39
200,124,143,133,97
200,125,37,52,63
200,126,243,197,158
200,127,135,78,46
200,128,72,62,54
200,129,52,98,114
200,130,122,142,118
200,131,102,116,107
200,132,26,25,28
200,133,251,176,66
200,134,246,219,188
200,135,106,85,64
200,136,223,140,62
200,137,175,91,38
200,138,46,45,45
200,139,243,190,93
200,140,211,125,55
200,141,246,218,140
200,142,197,130,67
200,143,16,51,76
200,144,210,173,120
200,145,229,192,99
200,146,253,245,185
200,147,68,67,66
200,148,5,14,29
200,149,194,148,80
200,150,182,177,172
200,151,242,123,34
200,152,21,36,49
200,153,98,131,122
200,154,244,110,20
200,155,68,105,126
200,156,139,122,80
200,157,35,34,35
200,158,229,227,223
200,159,228,152,86
200,160,86,99,96
200,161,81,71,62
200,162,214,179,160
200,163,191,91,28
200,164,30,37,46
200,165,113,121,107
200,166,100,102,95
200,167,38,85,108
200,168,143,95,60
200,169,25,21,17
200,170,79,120,120
200,171,173,137,118
200,172,172,187,194
200,173,202,117,51
200,174,167,70,19
200,175,234,152,63
200,176,247,152,59
200,177,12,26,42
200,178,101,68,45
200,179,96,127,144
200,180,164,162,108
200,181,156,97,55
200,182,3,4,8
200,183,191,204,210
200,184,75,76,76
200,185,226,193,170
200,186,57,69,75
200,187,52,55,59
200,188,204,142,70
200,189,173,152,114
200,190,167,109,64
200,191,252,219,114
200,192,164,161,139
200,193,10,40,63
200,194,218,148,73
200,195,156,120,79
200,196,60,93,103
200,197,234,126,43
200,198,173,140,77
200,199,153,83,42
