Color,DMC,Floss Name,Hex Code,Red_x,Green_x,Blue_x,Red_y,Green_y,Blue_y,Count
,3838,Lavender Blue Dark,#5C7294,92,114,148,92,114,148,310
,799,Delft Blue Medium,#748EB6,116,142,182,116,142,182,2140
,798,Delft Blue Dark,#466A8E,70,106,142,70,106,142,135
,3325,Baby Blue Light,#B8D2E6,184,210,230,184,210,230,28
,334,Baby Blue Medium,#739FC1,115,159,193,115,159,193,87
,823,Navy Blue Dark,#213063,33,48,99,33,48,99,421
,987,Forest Green Dark,#587141,88,113,65,88,113,65,90
,703,Chartreuse,#7BB547,123,181,71,123,181,71,298
,834,Golden Olive Very Light,#DBBE7F,219,190,127,219,190,127,94
,3047,Yellow Beige Light,#E7D6C1,231,214,193,231,214,193,270
,3045,Yellow Beige Dark,#BC966A,188,150,106,188,150,106,200
,3823,Yellow Ultra Pale,#FFFDE3,255,253,227,255,253,227,2301
,B5200,Snow White,#FFFFFF,255,255,255,255,255,255,29189
,White,White,#FCFBF8,252,251,248,252,251,248,298
,Ecru,Ecru,#F0EADA,240,234,218,240,234,218,651
,642,Beige Gray Dark,#A49878,164,152,120,164,152,120,573
,640,Beige Gray Very Dark,#857B61,133,123,97,133,123,97,545
,3787,Brown Gray Dark,#625D50,98,93,80,98,93,80,1211
,3021,Brown Gray Very Dark,#4F4B41,79,75,65,79,75,65,493
,3022,Brown Gray Medium,#8E9078,142,144,120,142,144,120,9174
,3033,Mocha Brown Very Light,#E3D8CC,227,216,204,227,216,204,86
,3072,Beaver Gray Very Light,#E6E8E8,230,232,232,230,232,232,28558
,648,Beaver Gray Light,#BCB4AC,188,180,172,188,180,172,208
,647,Beaver Gray Medium,#B0A69C,176,166,156,176,166,156,2379
,762,Pearl Gray Very Light,#ECECEC,236,236,236,236,236,236,185
,3799,Pewter Gray Very Dark,#424242,66,66,66,66,66,66,320
,310,Black,#000000,0,0,0,0,0,0,1435
,15,Apple Green,#D1EDA4,209,237,164,209,237,164,197
